Date,Solar Radiation (W/m²),Temperature (°C),Wind Speed (m/s),Humidity (% RH),Surface Temperature (°C)
2001-12-19,14.31,18.33,2.6,31.83,17.7
2001-12-20,15.32,17.35,1.99,26.25,16.14
2001-12-21,15.44,16.18,2.3,24.67,15.25
2001-12-22,15.62,15.58,2.77,22.43,15.11
2001-12-23,14.87,15.1,2.62,20.72,14.95
2001-12-24,14.27,14.93,2.79,22.41,15.01
2001-12-25,12.13,16.55,2.63,20.9,16.45
2001-12-26,13.39,16.69,2.92,21.34,16.12
2001-12-27,13.15,16.12,3.14,28.47,15.71
2001-12-28,13.01,16.82,2.4,27.75,15.92
2001-12-29,13.45,16.38,2.73,25.91,16.05
2001-12-30,14.32,16.43,2.98,22.94,16.07
2001-12-31,15.05,17.39,2.14,19.49,16.17
2002-01-01,15.08,17.29,2.79,17.8,16.27
2002-01-02,15.13,16.84,2.99,18.89,16.41
2002-01-03,13.47,16.35,2.78,23.48,15.48
2002-01-04,13.71,16.07,3.04,27.42,16.04
2002-01-05,13.55,15.25,3.45,30.99,15.35
2002-01-06,13.71,14.77,2.88,28.75,14.44
2002-01-07,12.59,14.07,3.12,29.62,13.48
2002-01-08,12.17,13.3,3.11,34.21,13.01
2002-01-09,13.79,14.59,3.0,30.59,14.28
2002-01-10,14.52,16.54,2.66,22.96,15.95
2002-01-11,15.01,17.89,2.17,18.62,16.97
2002-01-12,15.23,20.82,2.38,17.21,18.68
2002-01-13,14.11,20.24,4.05,26.84,19.44
2002-01-14,14.19,20.53,3.2,62.05,21.04
2002-01-15,15.49,18.65,3.17,24.86,18.16
2002-01-16,15.66,15.78,1.63,14.52,14.28
2002-01-17,11.47,13.21,2.95,21.8,12.66
2002-01-18,16.36,13.33,2.63,22.15,12.61
2002-01-19,16.03,13.76,1.59,19.14,12.13
2002-01-20,16.21,14.04,1.91,23.28,12.24
2002-01-21,16.3,14.89,1.46,30.78,13.3
2002-01-22,16.0,14.89,1.58,28.12,13.51
2002-01-23,16.02,16.09,1.1,21.71,14.34
2002-01-24,15.35,17.1,3.41,31.24,16.65
2002-01-25,16.12,17.32,2.56,42.77,18.11
2002-01-26,16.42,15.65,1.96,24.03,16.14
2002-01-27,16.79,15.69,1.86,21.63,14.51
2002-01-28,17.73,15.33,2.19,20.18,14.24
2002-01-29,17.51,15.16,2.94,18.77,14.56
2002-01-30,17.68,15.05,2.12,17.93,14.62
2002-01-31,17.14,15.33,2.91,15.91,14.6
2002-02-01,17.02,17.27,2.15,17.4,16.73
2002-02-02,17.03,17.71,3.44,20.69,16.48
2002-02-03,19.17,14.08,3.25,14.01,13.49
2002-02-04,18.95,15.59,2.22,14.69,14.79
2002-02-05,17.93,16.62,2.88,11.04,16.08
2002-02-06,18.15,16.14,3.3,14.07,15.74
2002-02-07,18.98,12.62,5.19,10.84,12.98
2002-02-08,18.86,11.47,3.05,8.64,12.07
2002-02-09,18.61,12.37,3.69,13.66,12.37
2002-02-10,18.84,11.38,4.22,24.11,12.13
2002-02-11,18.8,13.03,3.01,18.84,12.97
2002-02-12,18.74,15.47,2.65,14.5,15.62
2002-02-13,19.14,15.28,3.66,43.95,16.05
2002-02-14,18.48,17.67,2.12,28.36,18.1
2002-02-15,19.32,20.0,2.09,19.8,19.91
2002-02-16,19.46,21.02,2.03,17.33,20.82
2002-02-17,19.47,23.14,1.45,14.23,21.92
2002-02-18,19.38,21.83,2.45,16.74,22.3
2002-02-19,19.04,20.17,2.92,21.09,20.62
2002-02-20,18.67,23.33,2.17,17.37,22.24
2002-02-21,18.19,23.62,4.02,26.17,24.32
2002-02-22,11.73,21.68,4.22,47.22,22.17
2002-02-23,19.56,22.89,2.47,47.16,24.68
2002-02-24,19.2,20.95,3.47,40.36,23.07
2002-02-25,20.3,20.28,2.18,27.28,22.2
2002-02-26,14.86,22.25,3.54,19.41,22.84
2002-02-27,19.35,20.51,3.73,29.48,22.0
2002-02-28,19.1,23.88,1.81,26.42,24.57
2002-03-01,18.35,24.52,4.6,35.21,26.1
2002-03-02,21.11,19.78,4.21,43.7,21.37
2002-03-03,23.2,20.67,2.38,16.65,20.46
2002-03-04,21.69,22.84,1.48,13.17,22.15
2002-03-05,22.96,23.56,1.84,12.93,22.94
2002-03-06,23.18,23.64,1.99,12.21,24.36
2002-03-07,20.69,24.72,2.89,13.22,24.59
2002-03-08,20.88,24.96,2.54,29.78,26.53
2002-03-09,19.86,24.0,3.45,26.66,25.38
2002-03-10,21.75,22.22,3.31,33.9,24.4
2002-03-11,20.79,23.61,2.79,21.1,25.2
2002-03-12,21.99,25.57,2.4,19.7,26.17
2002-03-13,22.74,25.53,2.1,19.98,26.85
2002-03-14,24.46,26.03,1.67,12.61,26.18
2002-03-15,23.87,26.42,1.64,9.05,26.28
2002-03-16,24.13,27.06,2.84,9.56,26.44
2002-03-17,24.21,27.96,2.69,11.04,27.58
2002-03-18,24.71,29.53,1.34,10.0,28.94
2002-03-19,22.44,30.4,1.65,11.98,30.61
2002-03-20,16.42,28.37,3.13,19.33,28.88
2002-03-21,23.01,28.24,3.57,23.66,29.45
2002-03-22,23.28,28.54,2.13,18.59,28.99
2002-03-23,23.06,29.56,3.59,18.86,30.26
2002-03-24,24.29,28.97,5.52,25.72,30.31
2002-03-25,25.64,25.45,4.73,16.45,27.21
2002-03-26,25.87,25.32,3.42,12.08,26.81
2002-03-27,26.31,27.77,2.0,9.39,27.63
2002-03-28,26.22,29.39,1.0,7.84,29.02
2002-03-29,25.8,29.92,2.77,8.41,29.78
2002-03-30,25.39,30.6,4.06,12.18,31.91
2002-03-31,24.28,31.83,4.28,16.23,33.43
2002-04-01,25.52,31.39,3.62,12.03,32.04
2002-04-02,26.06,27.95,3.98,8.16,29.48
2002-04-03,25.57,29.58,2.3,9.47,30.73
2002-04-04,25.79,30.58,4.27,9.69,31.64
2002-04-05,22.27,32.65,4.94,17.26,33.85
2002-04-06,22.48,30.78,3.81,21.91,31.74
2002-04-07,21.63,29.74,2.51,22.91,32.05
2002-04-08,22.97,28.66,2.69,25.02,31.97
2002-04-09,26.35,29.38,2.39,19.74,31.88
2002-04-10,26.99,31.23,2.59,13.18,31.3
2002-04-11,27.25,30.56,4.25,16.03,31.76
2002-04-12,26.51,31.75,3.72,14.1,33.53
2002-04-13,23.59,32.01,3.73,19.73,34.36
2002-04-14,25.2,31.56,5.06,21.88,33.62
2002-04-15,24.9,31.67,6.08,23.36,33.51
2002-04-16,20.99,30.81,3.7,19.36,33.14
2002-04-17,21.73,31.19,2.79,19.91,32.56
2002-04-18,24.91,32.21,2.12,21.74,35.75
2002-04-19,26.23,34.2,2.72,15.53,36.53
2002-04-20,27.33,33.49,4.41,16.0,35.87
2002-04-21,26.97,33.92,3.09,18.18,36.95
2002-04-22,27.57,34.4,5.17,18.92,36.44
2002-04-23,22.86,34.86,6.15,20.44,36.72
2002-04-24,25.16,33.43,5.05,17.2,35.66
2002-04-25,29.55,32.09,4.63,4.91,32.61
2002-04-26,27.87,32.05,2.53,5.41,32.65
2002-04-27,27.01,34.36,4.47,7.3,34.77
2002-04-28,25.28,34.21,4.78,8.04,35.15
2002-04-29,27.09,32.98,2.75,6.58,35.34
2002-04-30,26.24,36.06,4.1,8.44,36.58
2002-05-01,26.74,34.53,2.91,16.14,37.0
2002-05-02,25.28,35.93,2.66,10.96,38.11
2002-05-03,26.15,36.43,2.42,10.08,39.09
2002-05-04,26.84,38.55,1.7,9.85,40.41
2002-05-05,27.5,37.82,4.42,10.49,39.32
2002-05-06,29.1,36.23,4.78,10.02,38.28
2002-05-07,27.41,35.92,4.54,13.14,38.56
2002-05-08,27.27,35.36,5.36,18.11,38.14
2002-05-09,24.51,35.94,7.82,26.65,37.93
2002-05-10,26.77,36.1,6.59,30.92,38.51
2002-05-11,27.92,37.2,6.31,21.88,39.31
2002-05-12,27.19,36.77,7.84,35.35,38.9
2002-05-13,26.02,36.93,7.61,35.37,39.45
2002-05-14,25.07,36.5,7.77,35.79,38.9
2002-05-15,25.04,36.63,5.14,35.35,40.15
2002-05-16,20.61,38.33,3.04,25.69,42.03
2002-05-17,25.16,39.29,3.64,14.64,41.91
2002-05-18,27.52,37.49,8.12,10.62,38.55
2002-05-19,23.84,35.33,8.81,19.78,36.86
2002-05-20,29.67,34.25,5.74,6.94,35.23
2002-05-21,29.13,34.97,5.0,5.33,35.75
2002-05-22,27.59,36.46,5.68,16.9,37.91
2002-05-23,25.13,36.67,6.68,29.81,39.06
